a,PROG:DATA 1,2
a,PROG:DATA 2,2
a,PROG:DATA 3,3
a,PROG:DATA 4,3
a,PROG:DATA 5,3
a,PROG:DATA 6,3
a,PROG:DATA 7,3
a,PROG:DATA 8,3
a,PROG:DATA 9,4
a,PROG:DATA 10,4


b,1,1,226.67,0.0001,0.5
b,1,2,25,0.0001,0.5
b,2,1,226.67,0.0004,0.5
b,2,2,25,0.0004,0.5
b,3,1,226.67,0.0004,0.5
b,3,2,191.67,0.0002,0.5
b,3,3,25,0.00045,0.5
b,4,1,226.67,0.0004,0.5
b,4,2,191.67,0.0008,0.5
b,4,3,25,0.0008,0.5
b,5,1,226.67,0.0004,0.5
b,5,2,191.67,0.002,0.5
b,5,3,25,0.0016,0.5
b,6,1,226.67,0.0004,0.5
b,6,2,191.67,0.006,0.5
b,6,3,25,0.0036,0.5
b,7,1,226.67,0.0004,0.5
b,7,2,191.67,0.0126,0.5
b,7,3,25,0.007,0.5
b,8,1,226.67,0.0004,0.5
b,8,2,191.67,0.0321,0.5
b,8,3,25,0.0172,0.5
b,9,1,226.67,0.0004,0.5
b,9,2,191.67,0.0236,0.5
b,9,3,133.33,0.026,0.5
b,9,4,25,26,0.5
b,10,1,226.67,0.0004,0.5
b,10,2,191.67,0.050,0.5
b,10,3,133.33,0.12,0.5
b,10,4,25,26,0.5


